"Led en lignes, Frame en colonnes, Valeurs d'intensité de 0 à 7, sauvegarder en CSV avec virgule comme séparateur",,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
{,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
4,7,4,2,0,0,0,0,0,0,0,0,0,0,0
2,4,7,4,2,0,0,0,0,0,0,0,0,0,0
0,2,4,7,4,2,0,0,0,0,0,0,0,0,0
0,0,2,4,7,4,2,0,0,0,0,0,0,0,0
0,0,0,2,4,7,4,2,0,0,0,0,0,0,0
0,0,0,0,2,4,7,4,2,0,0,0,0,0,0
0,0,0,0,0,2,4,7,4,2,0,0,0,0,0
0,0,0,0,0,0,2,4,7,4,2,0,0,0,0
0,0,0,0,0,0,0,2,4,7,4,2,0,0,0
0,0,0,0,0,0,0,0,2,4,7,4,2,0,0
0,0,0,0,0,0,0,0,0,2,4,7,4,2,0
0,0,0,0,0,0,0,0,0,0,2,4,7,4,2
0,0,0,0,0,0,0,0,0,0,0,2,4,7,4
0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
0,0,0,0,0,0,0,0,0,0,0,2,4,7,4
0,0,0,0,0,0,0,0,0,0,2,4,7,4,2
0,0,0,0,0,0,0,0,0,2,4,7,4,2,0
0,0,0,0,0,0,0,0,2,4,7,4,2,0,0
0,0,0,0,0,0,0,2,4,7,4,2,0,0,0
0,0,0,0,0,0,2,4,7,4,2,0,0,0,0
0,0,0,0,0,2,4,7,4,2,0,0,0,0,0
0,0,0,0,2,4,7,4,2,0,0,0,0,0,0
0,0,0,2,4,7,4,2,0,0,0,0,0,0,0
0,0,2,4,7,4,2,0,0,0,0,0,0,0,0
0,2,4,7,4,2,0,0,0,0,0,0,0,0,0
2,4,7,4,2,0,0,0,0,0,0,0,0,0,0
4,7,4,2,0,0,0,0,0,0,0,0,0,0,0
7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
},,,,,,,,,,,,,,
